id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,GN,The day they met was when they both watched the drama at the neighbor's house,https://img.upanh.tv/2023/08/23/Gp-nhau-1.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-1-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-1-nam.jpg,27,1,1,0,1,Love Sparked by Drama
3,GN,They first met while going to a gathering with their friends.,https://img.upanh.tv/2023/08/23/Gp-nhau-2.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-2-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-2-nam.jpg,25,1,1,2,1,Chance Encounter Among Friends
4,GN,"Oh my god, can you believe it? The girl went to eat noodles, met a lover again.",https://img.upanh.tv/2023/08/23/Gp-nhau-3.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-3-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-3-nam.jpg,35,4,0,1,1,Serendipitous Noodle Reunion
5,GN,The guy turned the car back immediately when he saw that his new girlfriend on the internet was different from the one in the photo.,https://img.upanh.tv/2023/08/23/Gp-nhau-4.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-4-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-4-nam.jpg,25,1,0,1,0,Online Dating Disaster
6,GN,"The girl who went to the cafe to run the deadline, met the man sitting next to her and also ran the deadline",https://img.upanh.tv/2023/08/23/Gp-nhau-5.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-5-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-5-nam.jpg,30,4,3,1,1,Deadline Partners
7,GN,"Thanks to the potholes on the road, the girl fell into the lap of a guy who was picking up bottles",https://img.upanh.tv/2023/08/23/Gp-nhau-6.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-6-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-6-nam.jpg,35,4,0,1,0,Potholes That Brought Us Together
8,GN,"The girl went to the supermarket to buy too many things that she couldn't bring back, caught the guy passing by, crying loudly, and the boy brought her home.",https://img.upanh.tv/2023/08/23/Gp-nhau-11.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-11-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-11-nam.jpg,20,0,2,1,1,Kindness of Strangers
9,GN,"Seeing a beautiful girl crouching under the eaves of a small grocery store sheltering from the rain, the young man immediately ran into the shop to buy an umbrella, only to know that it was the owner's lover.",https://img.upanh.tv/2023/08/23/Gp-nhau-10.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-10-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-10-nam.jpg,27,2,0,1,1,The Girl Under the Eaves
10,GN,"On a beautiful day, the guy saw the girl's car break down in the middle of the road, the throttle to help made her car more damaged.",https://img.upanh.tv/2023/08/23/Gp-nhau-9.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-9-nu.jpg,https://img.upanh.tv/2023/08/23/Gp-nhau-9-nam.jpg,30,1,0,1,1,"Good Intentions, Bad Results"
11,GN,"The News reports the ratio of male and female imbalance is increasing, the guy is scared, has a bold decision to go to the street to meet a girl who loves her, and meets a fat girl.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/TY.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/TY.jpg,27,1,1,2,1,The Bold Decision
12,GN,"The girl and her sister-in-law went to catch her husband's mistress, who expected that lover to be her boyfriend's sister",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/DG.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/DG.jpg,30,1,1,1,1,Shocking Revelation
13,GN,"She just broke up with her lover, mourned and cried, went out to meet a technology taxi driver and took him home.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/DT.png,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/DT.png,30,2,2,1,1,Taxi Driver Who Healed Her Heart
