id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,SC2,"After giving birth to their first child, the couple decided to have another child next year",https://img.upanh.tv/2023/08/23/Hanh-phuc-12.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-12-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-12-nam.jpg,30,1,1,0,0,Sibling rivalry
2,SC3,The oldest brother hates the second brother because he feels that his parents no longer love him,https://img.upanh.tv/2023/08/23/Hanh-phuc-13.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-13-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-13-nam.jpg,20,2,0,0,1,Oldest brother's jealousy
3,SC4,Husband was shocked when he found out that his second child was a neighbor's child.,https://img.upanh.tv/2023/08/24/sinh-con-th-2-2.jpg,https://img.upanh.tv/2023/08/24/sinh-con-th-2-2.1.png,https://img.upanh.tv/2023/08/24/sinh-con-th-2-2.2.png,35,1,0,0,0,Husband's infidelity
4,SC5,"In order to fight for the inheritance, the two brothers' families cut off ties with each other",https://img.upanh.tv/2023/08/23/Hanh-phuc-15.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-15-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-15-nam.jpg,35,1,0,2,0,Family inheritance dispute
5,SC6,"In order for her second son to study abroad, the mother forced her first son to drop out of school and work part-time to earn money",https://raw.githubusercontent.com/spiderdassness/anh_raw/7c1ced88cf8556fcf8fc82b1cf9830577f29adc3/DH.png,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/7c1ced88cf8556fcf8fc82b1cf9830577f29adc3/DH.png,30,2,0,1,0,Mother's favoritism
6,SC7,The husband wanted to have a second child but found out that he was infertile,https://img.upanh.tv/2023/08/23/Hanh-phuc-17.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-17-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-17-nam.jpg,30,1,1,0,1,Infertility
7,SC8,"At the age of 24, the second son discovered that he was the biological son of a tycoon family",https://img.upanh.tv/2023/08/24/sinh-con-th-2-3.jpg,0,https://img.upanh.tv/2023/08/24/sinh-con-th-2-3.2.png,24,1,0,0,1,Biological family discovery
8,SC9,The wife feels angry because her husband forced her to have a second child because the family is too poor,https://img.upanh.tv/2023/08/24/Ngoai-tinh-222afe0d2f1ee25e7b.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-22-17214f2185bf1fe7c.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-22-26756cc1d58d3af05.jpg,30,1,1,0,0,Wife's resentment
9,SC10,"In order for the second son to live, the eldest decided to donate a liver",https://raw.githubusercontent.com/spiderdassness/anh_raw/8643c3eefa40eb980c5b40f296610018585d4969/manya4.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/8643c3eefa40eb980c5b40f296610018585d4969/manya4.jpg,35,3,0,1,0,Liver donation
10,SC11,Husband still leaves his wife to follow his mistress even though they are two people with two small children,https://raw.githubusercontent.com/spiderdassness/anh_raw/73cba37eca8cdba1a4738927ad90a7f53c81d7be/leave_wife.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/73cba37eca8cdba1a4738927ad90a7f53c81d7be/leave_wife.jpg,35,1,1,0,1,Marital breakdown
