id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,TT,"On the occasion of the girl's birthday, the boy confessed to her",https://img.upanh.tv/2023/08/24/T-tinh-13.jpg,0,https://img.upanh.tv/2023/08/24/T-tinh-13.jpg,28,2,2,0,0,Birthday love confession
2,TT,"When the two were married, the wife discovered that her best friend had confessed to her man",https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_a.png,38,1,1,2,1,Betrayal of trust
3,TT,Discovered ex-lover proposed to another girl on the street,https://img.upanh.tv/2023/08/24/T-tinh-12.jpg,https://img.upanh.tv/2023/08/24/T-tinh-12.jpg,0,30,1,1,0,1,Heartbroken on the street
4,TT,The girl was confessed to by the boy in the garbage dump.,https://raw.githubusercontent.com/spiderdassness/anh_raw/c982f405bce20c3877a9a51d6321f6325ffba991/bai_rac.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/c982f405bce20c3877a9a51d6321f6325ffba991/bai_rac.jpg,0,28,0,2,0,0,Garbage dump confession
5,TT,The boy confessed but the girl refused because she already has someone she likes,https://raw.githubusercontent.com/spiderdassness/anh_raw/4530848d5a7fe87377f89201c6c25bce3a26f335/no.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/4530848d5a7fe87377f89201c6c25bce3a26f335/no.jpg,0,28,0,1,1,0,Unrequited love
6,TT,"When he was drunk, the boy confessed his love to the girl",https://img.upanh.tv/2023/08/24/T-tinh-11.jpg,https://img.upanh.tv/2023/08/24/T-tinh-11-1.jpg,0,30,5,5,0,0,Drunken love confession
7,TT,The girl who regrets rejecting another guy's confession to marry is now a ghost man.,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh_nu.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh_nam.jpg,30,4,4,0,0,Ghost of regret
8,TT,The girl rejects the guy because he is a Luffy pirate pirate.,https://raw.githubusercontent.com/spiderdassness/anh_raw/21e0ae70cd5f7f68d3756dde6013f0436919ecd7/cb.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/21e0ae70cd5f7f68d3756dde6013f0436919ecd7/cb.jpg,30,1,0,1,0,Love lost to the sea
9,TT,"Accepted the boy's confession, but the girl's family objected because of her family background",https://img.upanh.tv/2023/08/24/T-tinh-10.jpg,https://img.upanh.tv/2023/08/24/T-tinh-10.jpg,0,28,0,1,0,1,Love forbidden by family
10,TT,"The girl cursed at the boy, for confessing there was only a flower but not a branded bag",https://img.upanh.tv/2023/08/24/T-tinh-5.jpg,https://img.upanh.tv/2023/08/24/T-tinh-5-2.jpg,https://img.upanh.tv/2023/08/24/T-tinh-5-1.jpg,28,0,1,0,1,Materialistic love
11,TT,The boy confessed his love so romantic that it made the girl sleepless all night.,https://raw.githubusercontent.com/spiderdassness/anh_raw/1768bd11a845d2f8fc7ca6ccb0fceb834cf91413/kiss.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/1768bd11a845d2f8fc7ca6ccb0fceb834cf91413/kiss.png,0,28,1,1,0,1,Love confession insomnia
12,TT,The girl told her best friend about the boy who confessed to her. But unexpectedly he is the secret lover of her best friend,https://img.upanh.tv/2023/08/24/T-tinh-4.jpg,https://img.upanh.tv/2023/08/24/T-tinh-4.jpg,,28,1,1,0,0,Best friend's secret lover
13,TT,The boy sent a love letter to the girl but his best friend hid it.,https://img.upanh.tv/2023/08/24/T-tinh-3.jpg,https://img.upanh.tv/2023/08/24/T-tinh-3-1.jpg,0,25,0,1,0,0,Love letter intercepted
14,TT,"Right in front of the group of friends, the boy confessed to the girl. The girl agrees but it's a bet",https://raw.githubusercontent.com/spiderdassness/anh_raw/d8807bd3687ed0898d4b5f908cd811ce9e8ce0f0/tu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/d8807bd3687ed0898d4b5f908cd811ce9e8ce0f0/tu_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/d8807bd3687ed0898d4b5f908cd811ce9e8ce0f0/tu_nam.png,25,1,1,1,1,Love confession as a bet
15,TT,"After 4 failed confessions, he decided to give up on the girl and go with his best friend",https://img.upanh.tv/2023/08/24/T-tinh-2.jpg,https://img.upanh.tv/2023/08/24/T-tinh-2.jpg,0,25,2,2,0,1,"Love lost, friendship found"
16,TT,"The boy who confessed to his boss was rejected, because she thought he was greedy.",https://img.upanh.tv/2023/08/24/T-tinh-1.jpg,https://img.upanh.tv/2023/08/24/T-tinh-1-2.jpg,0,25,2,2,0,1,Love lost to doubt
17,TT,The 30-year-old boy confessed unsuccessfully because he bought a fake ring for the girl.,https://img.upanh.tv/2023/08/24/T-tinh-13.jpg,0,https://img.upanh.tv/2023/08/24/T-tinh-13.jpg,30,0,0,0,0,Love lost to deception
18,TT,"In order to quickly inherit the family's career, the guy gave up the confession of the girl he loved to marry the daughter of a tycoon family.",https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_a.png,30,1,1,0,1,Love sacrificed for ambition
19,TT,"Unable to accept that the girl was close to other men, he decided to confess to the girl. But she rejected him because she didn't like him because he was poor",https://img.upanh.tv/2023/08/24/T-tinh-12.jpg,https://img.upanh.tv/2023/08/24/T-tinh-12.jpg,0,28,1,1,0,1,"Love rejected, poverty a barrier"
20,TT,"The girl was very happy when the boy confessed, but suddenly another girl appeared and claimed to be his fiancée",https://raw.githubusercontent.com/spiderdassness/anh_raw/c982f405bce20c3877a9a51d6321f6325ffba991/bai_rac.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/c982f405bce20c3877a9a51d6321f6325ffba991/bai_rac.jpg,0,28,1,1,0,0,Love triangle heartbreak
21,TT,"Right at the wedding ceremony, the girl canceled the wedding because she discovered that her boyfriend's house was poor. The guy directly confessed to his best friend and left the wedding",https://raw.githubusercontent.com/spiderdassness/anh_raw/4530848d5a7fe87377f89201c6c25bce3a26f335/no.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/4530848d5a7fe87377f89201c6c25bce3a26f335/no.jpg,0,30,1,1,0,0,Love lost to materialism
22,TT,The boy who confessed was rejected by the girl from the first sentence because his mouth was so rotten that she couldn't stand it.,https://img.upanh.tv/2023/08/24/T-tinh-11.jpg,https://img.upanh.tv/2023/08/24/T-tinh-11-1.jpg,0,30,1,1,0,0,Love lost to bad breath
23,TT,The boy who confessed failed because he was so handsome that the girl didn't feel safe around him.,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh_nu.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/62e3c05d67984a43d918c7bd2d3acf29756fbee4/hh_nam.jpg,28,0,1,0,0,"Too handsome, too dangerous"
24,TT,The girl thought the guy she asked to kiss her but found out it wasn't herself but her best friend,https://raw.githubusercontent.com/spiderdassness/anh_raw/21e0ae70cd5f7f68d3756dde6013f0436919ecd7/cb.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/21e0ae70cd5f7f68d3756dde6013f0436919ecd7/cb.jpg,20,1,1,0,0,Kiss of mistaken identity
25,TT,"After two months of accepting the confession, the girl discovered that the boy was a promiscuous boy and digger",https://img.upanh.tv/2023/08/24/T-tinh-10.jpg,https://img.upanh.tv/2023/08/24/T-tinh-10.jpg,0,28,1,0,0,1,Relationship's foundation cracked
