id,mask,thongtin,image,nu,nam,Dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,TG,"He just met a woman at his age but immediately fell in love. He decided to spend the rest of his life with her",https://img.upanh.tv/2023/08/05/562c9f0846cf73b85.jpg,https://img.upanh.tv/2023/08/05/5-1.jpg,https://img.upanh.tv/2023/08/05/52.jpg,70,0,0,0,namtruoc,Old age soulmate
2,TG,"They are really happy till the end of their life",https://img.upanh.tv/2023/08/05/16b6ac83a2b8c30331.jpg,https://img.upanh.tv/2023/08/05/1696d8cb6b91381d13.jpg,https://img.upanh.tv/2023/08/05/16-1.jpg,80,0,0,0,namsau,Happily ever after
3,TG,"He has a heart attack and it is like torment with him trying to stay alive",https://img.upanh.tv/2023/08/09/iStock-1200979404.jpg_auto_x2.md.jpg,https://img.upanh.tv/2023/08/09/iStock-1200979404-1_auto_x2.jpg,https://img.upanh.tv/2023/08/09/iStock-1200979404-2_auto_x2.jpg,75,0,0,0,namtruoc,Old age sickness
4,TG,"He is comfortable with his old age life, no worry, no stress",https://img.upanh.tv/2023/08/05/12_auto_x2.jpg,0,0,72,0,0,0,0,Non-stress old age
5,TG,"No one stays beside him after his wife passes away. Lonely and sadness are his emotions because his children work abroad.",https://img.upanh.tv/2023/08/05/157d8a7a79d47f0107.jpg,0,0,71,0,0,0,0,Lonely life
6,TG,"At the end of her life, she thinks she has it all right but one mistake takes everything away from her",https://img.upanh.tv/2023/08/05/14_auto_x2.jpg,0,0,64,0,0,0,0,Mistake cost
7,TG,"Only one word about her Successful. She has everything—wealth, health, a happy family. Everyone is jealous of her",https://img.upanh.tv/2023/08/05/1_auto_x2.jpg,0,0,63,0,0,0,0,Success, no regrets
8,TG,"After all, they are still happy together even though the age gap is huge. They have no regrets and have been rewarded for what they have been through",https://img.upanh.tv/2023/08/05/3_auto_x2.jpg,https://img.upanh.tv/2023/08/05/3_auto_x22.jpg,https://img.upanh.tv/2023/08/05/3_auto_x2-1.jpg,78,0,0,0,namsau,Ending happiness
9,TG,"Rich till the end of their life",https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2.md.jpg,https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2-2.jpg,https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2-1.jpg,68,0,0,0,namtruoc,Old wealthy perfect life
10,TG,"Rich till the end of his life",https://img.upanh.tv/2023/08/05/4_auto_x2.md.jpg,0,0,70,0,0,0,0,Old man wealthy
11,TG,"She found another guy in her 60s and she seem to be happy. But everyone think he is her son not her partner",https://img.upanh.tv/2023/08/05/3_auto_x2.jpg,https://img.upanh.tv/2023/08/05/3_auto_x22.jpg,https://img.upanh.tv/2023/08/05/3_auto_x2-1.jpg,65,0,0,0,namsau,Love young man
12,TG,"There is a rummor about their love because the age is far distance and also their social status. Before he met her his just like a loser now he is a manager of the company which she own",https://img.upanh.tv/2023/08/05/9_auto_x2.jpg,https://img.upanh.tv/2023/08/05/9_auto_x2-1_auto_x2_auto_x2.jpg,https://img.upanh.tv/2023/08/05/9_auto_x2_auto_x2.jpg,75,0,0,0,namsau,Real love or material
13,TG,"They are both success and wealthy. She is older than him but after all their love is above all. They always seem really happy together at the public",https://img.upanh.tv/2023/08/05/10_auto_x2.jpg,https://img.upanh.tv/2023/08/05/10_auto_x2_auto_x2.jpg,https://img.upanh.tv/2023/08/05/10_auto_x2-1_auto_x2.jpg,76,0,0,0,namsau,Age is not distance
14,TG,"They been together for about more than 30 years. Their love build by trust and share. He always makes her feel really happy and she said that if he is not the one the no one else is",https://img.upanh.tv/2023/08/05/6_auto_x2.jpg,https://img.upanh.tv/2023/08/05/6_auto_x22.jpg,https://img.upanh.tv/2023/08/05/6_auto_x2-2.jpg,77,0,0,0,namsau,Last long forever
15,TG,"Everythings is in his hand",https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2.md.jpg,https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2-2.jpg,https://img.upanh.tv/2023/08/09/wealthy-rich-happy-elderly-man-woman-cash-money-beautiful-retired-couple-posing-dollar-banknotes-isolated-beige-281484367_auto_x2-1.jpg,68,0,0,0,namsau,Wealthy man
16,TG,"Look how confident she is at this age",https://img.upanh.tv/2023/08/05/7_auto_x2.jpg,0,0,69,0,0,0,0,Confident
17,TG,"He still need to work for his life. He feel depress because all his friend get support from family and do not need to work anymore",https://img.upanh.tv/2023/08/05/157d8a7a79d47f0107.jpg,0,0,68,0,0,0,0,Cannot stop working
18,TG,"Even she stays alone for a long time but she seem ok with that. Her lifestyle was build from young age",https://img.upanh.tv/2023/08/05/1_auto_x2.jpg,0,0,71,0,0,0,0,Single lifestyle
19,TG,"Chill till the end of her life",https://img.upanh.tv/2023/08/05/1_auto_x2.jpg,0,0,72,0,0,0,0,Chill life
20,TG,"He is still strong as he is in young age",https://img.upanh.tv/2023/08/05/2_auto_x2.jpg,0,0,76,0,0,0,0,Old but gold
21,TG,"No one can beat her even age or death",https://img.upanh.tv/2023/08/05/14_auto_x2.jpg,0,0,77,0,0,0,0,Strong Lady
22,TG,"Ride till the end of the world",https://img.upanh.tv/2023/08/05/11_auto_x2-1.jpg,0,0,78,0,0,0,0,Ride till die
23,TG,"Perfect life perfect wife that what he gets",https://img.upanh.tv/2023/08/05/562c9f0846cf73b85.jpg,https://img.upanh.tv/2023/08/05/5-1.jpg,https://img.upanh.tv/2023/08/05/52.jpg,75,0,0,0,namtruoc,Priceless gift
24,TG,"He got nothing to regret in his life. He was happy with every decision he made",https://img.upanh.tv/2023/08/09/240_F_581709072_rP05VuezTHtFGIYNE5Ri7zrQL6OtIV77_auto_x2.md.jpg,https://img.upanh.tv/2023/08/09/240_F_581709072_rP05VuezTHtFGIYNE5Ri7zrQL6OtIV77_auto_x2_auto_x2-3.jpg,https://img.upanh.tv/2023/08/09/240_F_581709072_rP05VuezTHtFGIYNE5Ri7zrQL6OtIV77_auto_x2_auto_x2-4.jpg,77,0,0,0,namtruoc,Nothing regret
25,TG,"Everything is in her hand. She rules the world",https://img.upanh.tv/2023/08/05/11_auto_x2-1.jpg,0,0,80,0,0,0,0,Wealthy woman
