id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
2,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
3,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
4,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
5,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
6,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
7,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
8,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
9,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
10,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
11,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
12,WD,Wedding dress,0,0,0,NULL,0,0,0,0,WD
13,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/1.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/1%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/1%20(1).png?raw=true,NULL,0,0,0,1,WD
14,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/10.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/10%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/10%20(1).png?raw=true,NULL,0,0,0,0,WD
15,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/11.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/11%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/11%20(1).png?raw=true,NULL,0,0,0,0,WD
16,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/12.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/12%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/12%20(1).png?raw=true,NULL,0,0,0,0,WD
17,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/13.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/14%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/14%20(1).png?raw=true,NULL,0,0,0,0,WD
18,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/2.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/2%20(1).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/2%20(2).png?raw=true,NULL,0,0,0,1,WD
19,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/3.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/3%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/3%20(1).png?raw=true,NULL,0,0,0,0,WD
20,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/4.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/4%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/4%20(1).png?raw=true,NULL,0,0,0,0,WD
21,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/5.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/5%20(1).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/5%20(2).png?raw=true,NULL,0,0,0,0,WD
22,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/6.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/6%20(1).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/6%20(2).png?raw=true,NULL,0,0,0,0,WD
23,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/8.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/8%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/8%20(1).png?raw=true,NULL,0,0,0,0,WD
24,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/7.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/7%20(2).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/7%20(1).png?raw=true,NULL,0,0,0,0,WD
25,WD,Wedding dress,https://github.com/Thang1911/Save_Image/blob/main/wedding/9.jpg?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/9%20(1).png?raw=true,https://github.com/Thang1911/Save_Image/blob/main/wedding/9%20(2).png?raw=true,NULL,0,0,0,1,WD
