id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,HP,"You will be taken on a trip by your lover, and the two of you will have fun days together.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp1.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp1nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp1nam.png,27,2,2,2,1,A Journey of Love
2,HP,"You will be taken by your partner to meet their family, to ask for permission to marry you.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/hp5.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp5nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp5nam.png,36,1,1,2,1,Meeting the In-Laws
3,HP,"You will be given gifts by your lover, not on the occasion of a holiday at all",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/hp3.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/hp3.jpg,0,25,1,1,1,0,The Perfect Gift
4,HP,He will give you a Rolls-Royce car as a birthday present.,https://img.upanh.tv/2023/08/23/Hanh-phuc-1.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-1-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-1-nam.jpg,32,1,1,1,0,Rolls-Royce Gift
5,HP,You will receive a surprise gift from your significant other. Your family will have a new baby.,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp8.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp8nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp8nam.png,35,1,1,2,1,The Best Surprise Ever
6,HP,"Three years later, you two will be able to buy a villa.",https://img.upanh.tv/2023/08/23/Hanh-phuc-2.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-2-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-2-nam.jpg,30,3,3,2,0,The Villa Dream
7,HP,"In 3 years, you will become a billionaire.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp13.jpg,0,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp13.jpg,39,1,0,1,0,Billionaire Dream
8,HP,"After 1 year of being in a relationship, you will be fattened up by your significant other by 10 kg.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp11.jpg,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp11.jpg,0,30,0,1,1,0,The Weight of Love
9,HP,"At the age of 30, the husband will take his family on a world tour using his own airplane.",https://img.upanh.tv/2023/08/23/Hanh-phuc-3.jpg,0,https://img.upanh.tv/2023/08/23/Hanh-phuc-2-nam.jpg,50,1,1,2,0,A Family Adventure
10,HP,"At 37 years old, the husband and wife both became a nationally famous acting couple.",https://img.upanh.tv/2023/08/23/Hanh-phuc-4.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-4-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-4-nam.jpg,42,1,1,2,1,The Dream Team
11,HP,"After discovering her husband's affair with his ex-girlfriend, the wife went to the ex-girlfriend's house to confront her and even resorted to cutting her hair and physically assaulting her.",https://img.upanh.tv/2023/08/23/Hanh-phuc-5.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-5-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-5-nan.jpg,33,,2,0,0,A Woman Scorned
12,HP,"After getting married, the husband and wife inherited a large amount of assets from the husband's stepfather.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp16.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp16nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp16nam.png,40,1,1,2,1,Blessed with Inheritance
13,HP,"At the age of 60, they were happy to have their 3 children all grown up and successful.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HP.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HPn.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HPa.jpg,60,3,3,1,1,60 and Blessed with Successful Children
14,HP,His greatest joy is waking up every morning to see his ugly wife preparing breakfast.,https://img.upanh.tv/2023/08/23/Hanh-phuc-6.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-6-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-6-nam.jpg,30,1,1,0,0,Morning Bliss with His Beloved Wife
15,HP,The girl was surprised when she received a proposal from her boyfriend in a crowded place,https://img.upanh.tv/2023/08/23/Hanh-phuc-7.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-7-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-7-nam.jpg,30,1,1,0,0,A Surprise Proposal in the Crowd
16,HP,"The girl feels that she is very lucky to have an ugly husband, not afraid that her husband will go with her.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/love.jpg,0,0,27,1,1,1,1,True Love Beyond Looks
