id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,KH,"On a fine day, you get good news. The couple had 1 baby and decided to get married. After 1 year together, you suddenly realize that the child is not yours",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/transracial-adoption-racial-identity-single-parent-LGBT.jpg,0,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/transracial-adoption-racial-identity-single-parent-LGBT.jpg,30,1,0,1,0,A Shocking Twist
2,KH,"You and she are prevented by your family from coming together. You are forced to marry someone else. For 6 months of marriage, you could not forget about her and had an affair with her",https://img.upanh.tv/2023/08/24/Ket-hon-2.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-2-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-2-nam.jpg,25,1,1,0,0,Star-Crossed Love
3,KH,"You two are married, and one day you are walking down the street to find out he is a third sex, he has been hiding from you for so long",https://img.upanh.tv/2023/08/24/Ket-hon-1.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-1-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-1-nam.jpg,27,1,1,2,0,Revelation of a Hidden Truth
4,KH,What happens to you after marriage? You find out he has been having an affair with your best friend. You're glad there was a reason to break up because you're having an affair too.,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/ngoai-tinh.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/48.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/49.jpg,25,1,1,2,0,Marriage Betrayals
5,KH,"One year after dating, they decided to get married. However, on their wedding night, the husband suddenly felt a strong, uncomfortable odor around him. When he kept asking, the bride finally shyly admitted that she had an issue with body odor.",https://img.upanh.tv/2023/08/24/Ket-hon-3.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-3-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-3-nam.jpg,33,1,1,2,0,Scented Surprise on Wedding Night
6,KH,"The husband and wife were prevented from being together by their families, and the husband was forced to marry someone else. After 6 months of marriage, the husband realized he still loved his ex-wife and had an affair with her.",https://img.upanh.tv/2023/08/24/Ket-hon-4.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-4-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-4-nam.jpg,30,1,1,0,0,Forbidden Love Rekindled
7,KH,"On the day of the wedding of the two, the husband met his ex-girlfriend again and developed feelings for her. In the first month of their marriage, the husband secretly contacted his ex-girlfriend.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/kh4.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/kh4nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/kh4nam.png,26,1,1,2,1,Marriage's First Challenge
8,KH,"On the wedding day of the couple, the husband had a traffic accident on the way to pick up his wife, was hospitalized, and the wedding ceremony was postponed.",https://img.upanh.tv/2023/08/24/Ket-hon-5.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-5-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-5-nam.jpg,40,2,2,0,0,Love Amidst Adversity
9,KH,"One month after getting married, the husband hit his wife because she didn't do housework.",https://img.upanh.tv/2023/08/24/Ket-hon-6.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-6-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-6-nam.jpg,32,1,1,0,1,Troubled Beginnings
10,KH,"One week after getting married, the husband lost his memory, forgot his wife, and asked for a divorce. The husband only remembered his ex-girlfriend.",https://img.upanh.tv/2023/08/24/Ket-hon-7.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-7-nu.jpg,0,42,2,2,2,1,The Husband's Forgotten Vows
11,KH,The wife secretly had an affair with the neighbor because her husband had erectile dysfunction.,https://img.upanh.tv/2023/08/24/Ket-hon-8.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-8-nu.jpg,0,30,2,2,0,0,Secrets and Frustrations
12,KH,"After 2 years of marriage, the couple went bankrupt because the husband spent all the money on entertainment and girls.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/depositphotos_53691311-stock-photo-broke-bankrupt-young-couple.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/62.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/63.jpg,31,1,1,2,0,Secret Desire
13,KH,"The couple had a child, and the husband brought his wife home to introduce her to the family, but they were rejected because the family only liked the husband's ex-girlfriend.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/khonghoahop.jpg,0,0,35,0,2,0,0,Struggles with Family Acceptance
14,KH,"After one week of marriage, the wife asked for a divorce upon discovering that her husband had a child with his ex-girlfriend.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/its-time-to-divorce.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/65.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/66.jpg,27,1,1,2,0,Marriage's Shocking Revelation
15,KH,"At 45 years old, the couple's son will marry the ex-girlfriend of the husband and the three of them will live together under one roof.",https://img.upanh.tv/2023/08/24/Ket-hon-9.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-9-nu.jpg,0,43,2,2,2,1,A Twist of Fate
16,KH,"At 46 years old, one year after their son married his ex-girlfriend and had a child, the wife discovered that the child was actually her husband's.",https://www.mathematik.uni-muenchen.de/~gerkmann/stexaufg/aufg/aufg_1972_2003.pdf,https://img.upanh.tv/2023/08/24/Ket-hon-10-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-10-nam.jpg,23,2,2,0,1,A Surprise Paternity
17,KH,"At 46 years old, one year after their son married his ex-girlfriend and had a child, the wife discovered that the child was actually her husband's.",https://www.mathematik.uni-muenchen.de/~gerkmann/stexaufg/aufg/aufg_1972_2003.pdf,https://img.upanh.tv/2023/08/24/Ket-hon-10-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-10-nam.jpg,23,2,2,0,1,A Surprise Paternity
18,KH,The couple got married for a month before they knew they were cousins.,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam-nu.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam-man.jpg,30,1,1,2,0,Love Beyond Family Ties
19,KH,Every day the husband comes home late because he does not want to hear the grumbling words of the lion female.,https://img.upanh.tv/2023/08/24/Ket-hon-2.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-2-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-2-nam.jpg,35,2,2,1,0,Avoiding the Lioness
20,KH,"Married for 1 year, the wife became ugly because her husband used a lot to wear out her beauty.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/K_H.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/K_H.jpg,35,1,0,0,0,The Toll of Marriage
21,KH,"After receiving his salary, the young man hurriedly stopped by the shop to make a few beers for him, or didn't come home, there was a lioness waiting.",https://img.upanh.tv/2023/08/24/Ket-hon-3.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-3-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-3-nam.jpg,35,1,1,0,0,A Lioness Waits at Home
22,KH,The boy was surprised to learn that the two children he raised for 8 years were not his own.,https://img.upanh.tv/2023/08/24/Ly-hon-17.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-17-nu.jpg,0,45,1,0,0,1,A Father's Identity Unraveled
23,KH,"Married for 10 years, the husband was surprised to learn that he was infertile and had 3 children.",https://img.upanh.tv/2023/08/24/Ly-hon-16.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-16-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-16-nam.jpg,45,0,0,0,0,10 Years of Unknowing Parenthood
24,KH,The girl was returned in the night when her husband saw her bare face.,https://img.upanh.tv/2023/08/24/Ket-hon-9.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-9-nu.jpg,0,30,0,1,0,1,Secret She Kept
25,KH,The wife was surprised to learn that her husband's lover was her best friend.,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/image-_1_.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/image-_1_.jpg,0,30,0,1,1,0,Painful Truth
