id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,LH,"After 3 years of marriage, the husband and wife divorced because the husband had erectile dysfunction.",https://img.upanh.tv/2023/08/24/Ly-hon-1.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-1-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-1-nam.jpg,29,5,5,0,0,The Marriage That Couldn't Survive
2,LH,What happens after you two get married? The two of you will soon break up because your male friend is addicted to alcohol and drugs,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/alcohol-withdrawal-timeline-1.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/72.jpg,0,23,0,1,1,0,Battling Addiction and Heartbreak
3,LH,"After visiting the hospital for a check-up, the husband discovered that he was infertile, but his wife had a child. So, whose child is it?",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/vo_sinh_nam.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/74.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/73.jpg,34,1,1,2,0,Secret Child
4,LH,"After 2 years of marriage, the husband and wife divorced because the wife went to her husband's company to physically attack him out of jealousy, which impaired his mental well-being.",https://img.upanh.tv/2023/08/24/Ly-hon-2.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-2.jpg,0,32,1,0,1,1,A Marriage Marred by Jealousy
5,LH,"After 2 years of marriage, the husband and wife divorced because the husband discovered that his wife had been having an affair with his brother and that their current child was not his own.",https://img.upanh.tv/2023/08/24/Ly-hon-3.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-3-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-3-nam.jpg,27,0,1,0,1,The Truth That Shattered a Marriage
6,LH,"After 1 year of marriage, the wife discovered that her husband was having an affair with her sister behind her back.",https://img.upanh.tv/2023/08/24/Ly-hon-4.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-4-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-4-nam.jpg,35,0,2,0,0,Sisterly Love or Unholy Lust?
7,LH,"After 1 month of marriage, the wife requested a divorce because she found out that her husband was bisexual and had cheated on her with another man.",https://img.upanh.tv/2023/08/24/Ly-hon-5.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-5-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-5-nam.jpg,34,2,0,1,1,A Marriage Ends in Discovery
8,LH,The husband decided to divorce his beautiful wife after discovering her deceit. She had never told him about her extensive plastic surgery to look as beautiful as she did.,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/upset-chinese-man-woman-having-quarrel-kitchen-middle-aged-young-looking-opposite-sides-husband-wife-thinking-divorce-255720116.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/79.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/80.jpg,30,2,2,2,0,Deceptive Beauty
9,LH,"After 1 week of marriage, the wife decided to divorce because she discovered that her husband was not as wealthy an heir as she had thought.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/12-Warning-Signs-Your-Marriage-Is-Over-According-To-Experts-6.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/12-Warning-Signs-Your-Marriage-Is-Over-According-To-Experts-6.jpg,0,31,0,1,1,0,The Marriage Unraveled
10,LH,"The husband discovered that his wife had been deceiving him for many years. When they first started dating, she had claimed to be 24 years old, but in reality, she was 34 years old.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/photo1599731820862-15997318208681037861370-crop-1599731880352378356155.jpg,0,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/photo1599731820862-15997318208681037861370-crop-1599731880352378356155.jpg,33,2,2,1,1,Deceitful Love
11,LH,"The husband requested a divorce because his wife was too violent. The wife found out that her husband was having an affair, so she grabbed a knife and hired someone to beat up the other woman.",https://img.upanh.tv/2023/08/24/Ly-hon-6.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-6-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-6-nam.jpg,29,2,2,2,0,Love's Dark Tangle
12,LH,"After one month of marriage, the husband requested a divorce because his wife was too dirty. She only took a bath and washed her hair once a week.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/pexels-rhema-11790891-1.jpg,0,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/pexels-rhema-11790891-1.jpg,33,3,0,1,1,A Soiled Marriage
13,LH,"After their wedding night, the husband requested a divorce because he couldn't accept that his wife was no longer a virgin.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/phu-nu-con-trinh-2.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/phu-nu-con-trinh-2.jpg,0,22,0,2,1,0,A Marriage Misconception
14,LH,"On their wedding night, the wife was extremely upset when she heard her newlywed husband call her the wrong name, another woman's name. The next day, she demanded a divorce.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/shutterstock_593479430.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/shutterstock_593479430.jpg,0,34,1,1,1,0,Wedding Night That Ended in Divorce
15,LH,"The husband insisted on divorcing because the shaman said that his wife was a demon who had bewitched him, always made trouble, and took his money.",https://img.upanh.tv/2023/08/24/Ly-hon-7.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-7-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-7-nam.jpg,25,1,1,2,0,Power of Superstition
