id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,MM,"when she was about to take the last step, she told him to stop because she ran out of condoms",https://img.upanh.tv/2023/08/24/May-mua-1.jpg,https://img.upanh.tv/2023/08/24/May-mua-1-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-1-nam.jpg,25,1,1,0,0,No backup condom
2,MM,He only got 2 minutes,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk2.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk2.jpg?raw=true,0,26,1,1,1,0,Time problem
3,MM,She discovered his inability to achieve an erection,https://img.upanh.tv/2023/08/24/May-mua-2.jpg,https://img.upanh.tv/2023/08/24/May-mua-2-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-2-nam.jpg,27,1,1,0,1,Can't get erection
4,MM,His is only 10 cm,https://img.upanh.tv/2023/08/24/May-mua-4.jpg,https://img.upanh.tv/2023/08/24/May-mua-4-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-4-nam.jpg,27,1,1,0,1,Short pen
5,MM,"His bed technique is so bad, and the girl breaks up with him",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk5.jpg?raw=true,0,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk5.jpg?raw=true,32,3,3,1,0,Breakup because of technique
6,MM,He was forced to stop because her reaction was like a dead fish,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk6.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk6.jpg?raw=true,0,27,1,1,1,0,Worst reaction
7,MM,He can't get an erection when he looks at her face,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk7.jpg?raw=true,0,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk7.jpg?raw=true,29,1,1,1,1,Erection problem
8,MM,"When the two were having sex, his boss called and told him to come to the company",https://img.upanh.tv/2023/08/24/May-mua-5.jpg,https://img.upanh.tv/2023/08/24/May-mua-5-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-5-nam.jpg,28,1,1,0,1,Emergency call from boss
9,MM,"When he was about to have sex, he admitted that he was gay",https://img.upanh.tv/2023/08/24/May-mua-6.jpg,https://img.upanh.tv/2023/08/24/May-mua-6-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-6-nam.jpg,25,1,1,1,1,Real gender
10,MM,"While the two abc, a man came in and said to him: Why did you betray me?",https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe1.png?raw=true,24,1,1,2,1,Are you cheating?
11,MM,"After doing 2 rounds, he couldn't continue. This made her angry",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk11.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk11.jpg?raw=true,0,23,1,1,1,0,Angry because can't satisfy
12,MM,"The two broke up, after discovering that: Last night when they were about to have sex, they realized they didn't have feelings for each other.",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12.png?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12-nu.png?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12-nam.png?raw=true,22,1,1,2,1,True feeling
13,MM,"During sex, she called her ex's name",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk13.jpg?raw=true,0,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk13.jpg?raw=true,31,1,1,1,0,Call ex's name when have sex
14,MM,"While in the midst of intercourse, he insisted that she call him daddy.",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk14.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk14.jpg?raw=true,0,22,1,1,1,0,Dirty talk
15,MM,"She found his wallet on the table. When she opened it, she saw his ex-boyfriend's photo in her wallet",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk15.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk15.jpg?raw=true,0,25,1,1,1,0,Ex photo found
16,MM,He asked her to play 3P the first time they had sex,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk16.jpg?raw=true,0,0,28,1,1,1,0,3S for first time
17,MM,She confessed: she hasn't been able to forget her ex,https://img.upanh.tv/2023/08/24/May-mua-7.jpg,https://img.upanh.tv/2023/08/24/May-mua-7.jpg,0,29,1,1,1,0,Ex missing
18,MM,They had such a strong relationship in the car that the police came to inquire because they suspected there was a bomb,https://img.upanh.tv/2023/08/24/May-mua-8.jpg,https://img.upanh.tv/2023/08/24/May-mua-8.jpg,0,29,1,1,0,0,Car sex make police suspicious
19,MM,Because of the stimulation. The two had sex right in the shopping mall's fitting room,https://img.upanh.tv/2023/08/24/May-mua-9.jpg,https://img.upanh.tv/2023/08/24/May-mua-9.jpg,0,27,1,1,0,0,Fitting room sex
20,MM,"They had their first sex session, right on a hidden corner of the subway. And both feel more stimulated doing it",https://img.upanh.tv/2023/08/24/May-mua-10.jpg,https://img.upanh.tv/2023/08/24/May-mua-10.jpg,0,29,1,1,0,0,Risky sex
21,MM,"Both are too excited to have sex. They had a cervical strangulation, and had to call 911",https://img.upanh.tv/2023/08/24/May-mua-11.jpg,https://img.upanh.tv/2023/08/24/May-mua-11-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-11-nam.jpg,22,1,1,0,1,Accident when have sex
22,MM,"He almost lost his life, because she stroked his back after sex",https://img.upanh.tv/2023/08/24/May-mua-12.jpg,0,https://img.upanh.tv/2023/08/24/May-mua-12.jpg,24,1,1,0,0,Stroked back life in danger
23,MM,"After having sex for 2 days. They were knocked on the hotel room door by the police, because the front desk called 911 on suspicion of drug use",https://img.upanh.tv/2023/08/24/May-mua-13.jpg,https://img.upanh.tv/2023/08/24/May-mua-13-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-13-nam.jpg,23,1,1,0,0,Front desk consider
