id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,MS,"Because he still loved his ex-girlfriend, the husband gave her all his money, house, and car. After his wife found out, her family became homeless.",https://img.upanh.tv/2023/08/24/May-mua-17.jpg,https://img.upanh.tv/2023/08/24/May-mua-17.jpg,0,45,5,5,0,0,ruins family because of ex
2,MS,"Your husband loves to shop, but your family goes bankrupt, you become homeless",https://img.upanh.tv/2023/08/24/Ngui-yeu-mi-17.jpg,https://img.upanh.tv/2023/08/24/Ngui-yeu-mi-17-2.jpg,https://img.upanh.tv/2023/08/24/Ngui-yeu-mi-17-1.jpg,35,5,5,0,1,bankrupts family cause of shoppingholic
3,MS,You will be jailed in jail for drug use,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/111.jpg,0,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/111.jpg,35,2,2,1,0,Drug use leads to jail time.
4,MS,You will become the owner of a 5-star hotel chain,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/3.webp,0,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/3.webp,40,2,1,1,0,"Hotel chain owner, wealthy husband."
5,MS,"One morning, after waking up, the husband was very surprised that he had won the lottery and become wealthy.",https://upanh.tv/image/mua-sam-1.jpg,https://upanh.tv/image/mua-sam-1-1.jpg,https://upanh.tv/image/mua-sam-1-2.jpg,50,1,2,2,0,"Lottery win, husband becomes wealthy."
6,MS,"At the age of 45, the husband will become wealthy because his wife is the daughter of a billionaire.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/ms4.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/ms4nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/ms4nam.png,45,5,5,2,0,Wealthy husband because of wife
7,MS,"At the age of 50, your husband will become the president of the country and you will be spoiled for choice.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/84153f9127573de58390f45cec550ab0-16777302887711406046058.jpg,0,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/84153f9127573de58390f45cec550ab0-16777302887711406046058.jpg,50,2,2,1,0,Spoiled for choice at 50
8,MS,"At the age of 35, the husband will be bought a car by his wife's family.",https://i.ibb.co/Y8v4DnD/chang-trai-bi-gan-ghep-voi-hoa-hau-thuy-tien-noi-tieng-va-giau-co-ra-sao-31ac9607c0d747f2b76ea227a35.jpg,https://i.ibb.co/9GpkBkW/image.png,https://i.ibb.co/XSV4d0L/image.png,35,0,2,2,0,Car gift for wife's family
9,MS,"At the age of 29, your family will have to beg for a living because the husband has sold the house for gambling.",https://i.ibb.co/SXgHNJG/image.png,,,29,5,5,0,0,Gambling addiction.
10,MS,"At the age of 50, your family will have to sell the house to pay for the husband's medical treatment due to his frequent alcohol consumption.",https://i.ibb.co/85K6QV9/Mua-sa-m-4.png,https://i.ibb.co/PWkzJsW/Mua-sa-m-4-1.png,https://i.ibb.co/1scWfx4/Mua-sa-m-4-2.png,50,5,5,0,1,"Alcoholism, family hardship"
11,MS,"At the age of 45, you have bought a villa and a luxury car.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/220119161835-02-under-40-rolls-royce-owners.jpg,0,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/220119161835-02-under-40-rolls-royce-owners.jpg,45,1,1,1,0,"Success at 45,"
12,MS,The house you can afford to buy at 30? It's an apartment,https://i.ibb.co/NLdxSMf/Mua-sa-m-5.png,https://i.ibb.co/L807FSf/Mua-sa-m-5-1.png,https://i.ibb.co/WgrBmbz/Mua-sa-m-5-2.png,30,1,1,0,0,"Affordable apartment, 30 years old."
13,MS,The car you can afford to buy at the age of 30? It's a bicycle that belongs to both of you.,https://i.ibb.co/85Z3rxQ/Mua-sa-m-3.png,https://i.ibb.co/NmJz9HC/Mua-sa-m-3-1.png,https://i.ibb.co/4fMhqhb/Mua-sa-m-3-2.png,30,5,5,0,0,"Affordable bicycle, couple."
14,MS,"After one year of dating, the wife was given a million-dollar mansion as a gift from her husband.",https://i.ibb.co/C1HB2CC/Mua-sa-m-2.png,https://i.ibb.co/Mg4m1fH/Mua-sa-m-2-1.png,https://i.ibb.co/WVT03Y0/Mua-sa-m-2-2.png,25,5,5,0,0,Million-dollar gift for anniversary
15,MS,"After giving birth to her first child, the wife was given a new Mercedes by her husband.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms.png,0,30,0,2,1,0,"Push present, Mercedes, new mom."
16,MS,The old man was suddenly bought a phone by a guy,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/old_man.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/old_man.jpg,70,1,0,1,0,gifted phone for a stranger
17,MS,The husband was stunned when he saw his wife spend 15 million in 15 minutes,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/shopping.png,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/shopping.png,35,1,0,1,0,Wife spending spree
18,MS,"Given expensive gifts by her boyfriend, the girl was surprised to learn that he was a drug lord",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms_1.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms_1_NU.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms_1_nam.png,27,2,2,2,1,"Girl shocked, boyfriend drug lord."
19,MS,The husband loved his wife and children and sold the whole house to buy gifts for his mistress.,https://i.ibb.co/CK8JRgJ/Mua-sa-m-1.png,https://i.ibb.co/DQ2rxNk/image.png,https://i.ibb.co/vXqrX0Z/image.png,27,1,2,1,0,Sold house for mistress
20,MS,"Seeing that his wife is not as good as someone else's wife, the husband plays to spend hundreds of millions of dong to rebuild and rebuild for his wife.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms3.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms3.jpg,0,27,1,1,1,0,"Husband jealous, wife makeover."
21,MS,"The wife was distraught when suddenly a group of people came to clean up the house, it turned out that the husband had bought a bigger house and they were moving to a new house.",https://i.ibb.co/NLdxSMf/Mua-sa-m-5.png,https://i.ibb.co/L807FSf/Mua-sa-m-5-1.png,https://i.ibb.co/WgrBmbz/Mua-sa-m-5-2.png,30,2,2,0,0,"Distraught wife, new house surprise."
22,MS,"The couple was surprised to see that the price of the blender was reduced by 2 thirds of the amount yesterday and decided to buy it to try the strawberry smoothie, only to find out that the machine was broken.",https://i.ibb.co/VDZpvXr/Mua-sa-m-6.png,https://i.ibb.co/n7zXS1M/Mua-sa-m-6-1.png,https://i.ibb.co/VLXQjR6/Mua-sa-m-6-2.png,0,0,0,0,1,"Cheap blender, broken machine."
23,MS,"The husband always criticizes his wife for not knowing how to dress, the wife takes 500 million to go shopping, and changing herself makes the husband cross his eyes",https://i.ibb.co/yWMZDKN/Mua-sa-m-11.png,https://i.ibb.co/yPt0Z77/Mua-sa-m-11-1.png,https://i.ibb.co/NW8HXfV/Mua-sa-m-11-2.png,30,2,2,2,1,"Husband criticizes, wife changes."
24,MS,"Surprised to see that the husband had no money to work, learned that he had used all the money to buy a house and a car for the third person.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms5.jpg,0,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/ms5.jpg,35,2,2,1,0,Money for mistress
25,MS,"Parents-in-law saw that the youngest couple had been married for a long time but had not yet saved enough money to buy a house of their own. When asked why, they told them to stay with their parents to save money on food.",https://i.ibb.co/VHrgDps/Mua-sa-m-7.png,https://i.ibb.co/vj3b1dp/Mua-sa-m-7-1.png,https://i.ibb.co/0jDZmLf/Mua-sa-m-7-2.png,35,3,3,2,0,Way to save money
