id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,NT,She tied her husband up and fought with his mistress after discovering he had an affair.,https://img.upanh.tv/2023/08/24/Ngoai-tinh-17d1fe6a1967d44a6.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-1-2.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-1-1.jpg,32,1,1,0,dangsau,Fighting with mistress
2,NT,"At her birthday party, she finds a necklace on a stranger's body that is exactly the same as the one she found on the bill in his pocket last night",https://img.upanh.tv/2023/08/24/Ngoai-tinh-2.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-2-12e0b5619050581c8.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-2-2.jpg,31,1,1,1,0,Necklace clues to infidelity.
3,NT,"She discovered that in his contacts list, he had saved names like Monday, Tuesday, Wednesday, etc. After investigating, she realized that those were the names of her husband's mistresses corresponding to different days of the week",https://github.com/duongbang093/futureLove2/blob/main/danhghen/sk3.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/danhghen/sk3.jpg?raw=true,0,40,1,2,1,0,Husband's coded mistresses.
4,NT,She set up a fake account and befriended him. She found out that he had posted a picture with another girl and added her as a friend except for her,https://github.com/duongbang093/futureLove2/blob/main/danhghen/sk4.jpg?raw=true,https://github.com/duongbang093/futureLove2/blob/main/danhghen/sk4.jpg?raw=true,0,27,2,2,1,0,Fake account uncovers betrayal.
5,NT,"He found out that she had created a Tinder account with the intention of finding fwb,419 relationship.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-3.jpg,0,https://img.upanh.tv/2023/08/24/Ngoai-tinh-3.jpg,28,1,1,0,0,Cheating intentions uncovered.
6,NT,"While she was strolling with their child, she discovered her husband happily holding hands with another woman.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-41.jpg,0,https://img.upanh.tv/2023/08/24/Ngoai-tinh-41.jpg,35,1,1,0,0,Cheating Husband
7,NT,"She borrowed his phone to make purchases on Amazon and discovered love messages between him and someone from a store. After investigating, she found out that it was his ex-lover",https://github.com/duongbang093/futureLove2/blob/main/danhghen/sk7.jpg?raw=true,0,0,28,1,1,2,0,Love messages with ex-lover.
8,NT,"When using a fake account to check your lover's account. She discovered a picture of him with another girl, surrounded by his friends. Turns out she's been tricked for a long time",https://img.upanh.tv/2023/08/24/Ngoai-tinh-5.jpg,0,https://img.upanh.tv/2023/08/24/Ngoai-tinh-5-1.jpg,30,3,3,2,0,Fake account reveals lover's lies.
9,NT,She discovered a blonde hair on her husband's shirt. She followed him and discovered that he was having an affair with her son's teacher.,https://img.upanh.tv/2023/08/24/Ngoai-tinh-6.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-6-1.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-6-2.jpg,36,1,1,1,0,Hair led to discovery of affair.
10,NT,"The son of two individuals suddenly had an accident and required a blood transfusion. The doctor informed them that their son had blood type O, while husband's blood type was AB.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-7.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-7-1.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-7-2.jpg,35,1,1,2,0,"Son needs O blood, dad can't donate."
11,NT,"He discovered that as his son grew older, he bore a stronger resemblance to John, his neighbor. He decided to conduct a DNA test, which revealed that John was the biological father.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-8.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-8-2.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-8-1.jpg,29,3,3,0,0,DNA test proves neighbor is dad
12,NT,"Recently, the water pipe in his house has been frequently breaking. Being unsure of the situation, he requested permission to leave work and go home at noon to fix it. Upon arriving, he unexpectedly found his wife and the plumber in the bedroom",https://img.upanh.tv/2023/08/24/Ngoai-tinh-9412d967a68f3661f.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-9-1.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-9-2.jpg,32,1,1,1,1,Husband catches wife cheating.
13,NT,"One day, when she picked up her children from school, she discovered that teacher's bracelet was identical to the one on her own hand, which had been given to her by her husband a few days ago. Her sixth sense told her that there was something shady going on here.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-10e92e90e97566a8f5.jpg,0,https://img.upanh.tv/2023/08/24/Ngoai-tinh-10-183d8693d1fa7c5f0.jpg,34,0,2,1,0,Husband's gift is shady.
14,NT,"While she was walking with her lover, holding hands in the park, she saw her husband and another girl kissing under a tree not far ahead",https://img.upanh.tv/2023/08/24/Ngoai-tinh-11.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-11.jpg,,26,1,1,0,0,Caught husband cheating.
15,NT,She received a series of photos of her lover having affairs with many other girls from her best friend,https://img.upanh.tv/2023/08/24/Ngoai-tinh-1256b543ddf90c5559.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-12-2d4c8c0a5004d3834.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-12-1848a18c50606bfdb.jpg,29,1,1,0,1,Best friend exposes cheater.
16,NT,She discovered that her husband was having an affair with her best friend.,https://img.upanh.tv/2023/08/24/Ngoai-tinh-13c65997f45013c98b.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-13-11ca609834116fd83.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-13-27d551a253952cf51.jpg,28,1,1,1,0,Betrayal of trust.
17,NT,"While she and he were walking, a man got out of the car, extended his hand, and said, You're mine.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-15a7d82285219090a5.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-15-210ec48221101e514.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-15-1cf337d03dcdbe06c.jpg,32,1,1,2,1,Man claims woman as his own.
18,NT,To surprise your miserable boyfriend on his birthday. She uploaded a hot scene of him with his lover in front of relatives and relatives,https://img.upanh.tv/2023/08/24/Ngoai-tinh-14526a4ff97725d1b5.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-14-199a841e704430a7a.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-14-2470cbfd369caae1e.jpg,30,1,1,0,0,Hot stuff on birthday
19,NT,"During a video call, she caught a glimpse of a naked man behind his screen",https://img.upanh.tv/2023/08/24/Ngoai-tinh-16014efcb53abec0cd.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-16-1e7992c231fa24ce1.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-16-20cf84e2e2f76d957.jpg,35,1,1,1,1,Naked man behind then screen
20,NT,While she was being intimate with her best friend of the opposite sex. Then I found my lover's shoes hiding behind the corner of the wall,https://img.upanh.tv/2023/08/24/Ngoai-tinh-17a6c50d243dde8c50.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-17-17b6b1b663d7f9a7e.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-17-24842ff7dba81e6f3.jpg,31,1,1,1,0,Mystery shoes
21,NT,"While she was having lunch with her best friend at a restaurant, she discovered him and an old woman in her 60s kissing him.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-1840825a6c6723aa75.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-18-1513ce301e4071d59.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-18-2b376de9fd0466946.jpg,40,1,1,1,1,Lunch date
22,NT,She surreptitiously checked his phone while glancing and discovered a provocative picture of a woman who appeared older than her mother's age,https://img.upanh.tv/2023/08/24/Ngoai-tinh-19ac8a01e2143114bd.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-19-18833621ed0dfb9ae.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-19-2b273e53b6b903289.jpg,27,1,1,1,1,Sneaky peek
23,NT,"Walking on the street, he found her and her boss swinging on the roll royce",https://img.upanh.tv/2023/08/24/Ngoai-tinh-20af57db5867e27d2b.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-20-1e0cbf5282463eb83.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-20-2b14ad7e06c774a6b.jpg,30,1,1,0,0,Caught cheating
24,NT,She discovered the smell of cheap perfume that students used in his car,https://img.upanh.tv/2023/08/24/Ngoai-tinh-2136b51a3f4ed28983.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-21-2dbee850736dd92e2.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-21-16bea7de459cac6d9.jpg,29,1,1,2,0,Cheap perfume
25,NT,"During a party at a karaoke bar, his partner joins in and sings a romantic song with lyrics that remind him of an affair, causing his lover to vibrate with his sixth sense.",https://img.upanh.tv/2023/08/24/Ngoai-tinh-234e3ab1da0ff23cbb.jpg,https://img.upanh.tv/2023/08/24/Ngoai-tinh-234e3ab1da0ff23cbb.jpg,,28,1,1,0,0,Lyrics trigger flashback
