id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,DDC,"What an adorable girl!!",https://img.upanh.tv/2023/08/04/1_auto_x2.jpg,0,0,35,0,0,0,0,Lovely daughter
2,DDC,"Wow she looks just like Elsa",https://img.upanh.tv/2023/08/04/25_auto_x2.jpg,0,0,32,0,0,0,0,Elsa
3,DDC,"She looks so cute but she may be trouble in the future",https://img.upanh.tv/2023/08/04/6c4ca3d736c2ae0b87b4ca7c9d251838_auto_x2.jpg,0,0,30,0,0,0,0,Future Daughter
4,DDC,"She looks just like Wolverine",https://img.upanh.tv/2023/08/04/24034e79a48ce0ef18.jpg,0,0,31,0,0,0,0,Werewolf
5,DDC,"Your daughter will be really hard to teach because of her behavior",https://img.upanh.tv/2023/08/04/23c1686d495cd58713.jpg,0,0,28,0,0,0,0,Headstrong daughter
6,DDC,"Wow your daughter will become an artist for sure. Look how talented she is",https://img.upanh.tv/2023/08/04/2216f009428a1e5a5d.jpg,0,0,26,0,0,0,0,Talented daughter
7,DDC,"Your kid will be wonderful no question",https://img.upanh.tv/2023/08/04/2_auto_x2.jpg,0,0,31,0,0,0,0,Wonderful kid
8,DDC,"Look how smart and cute is he. But he will be a big trouble",https://img.upanh.tv/2023/08/04/3_auto_x2.jpg,0,0,30,0,0,0,0,Double trouble
9,DDC,L"ook at his hair. He is Son Goku",https://img.upanh.tv/2023/08/04/4_auto_x2.jpg,0,0,29,0,0,0,0,Son Son
10,DDC,"Believe it or not, your kids will look like that",https://img.upanh.tv/2023/08/04/6_auto_x2.jpg,0,0,27,0,0,0,0,Your future children
11,DDC,"They are twins but their character will be different",https://img.upanh.tv/2023/08/04/7_auto_x2.jpg,0,0,22,0,0,0,0,Twins but not twins
12,DDC,"Everyone at his age should follow him or else it will be a mess",https://img.upanh.tv/2023/08/04/8_auto_x2.jpg,0,0,26,0,0,0,0,Bossy kid
13,DDC,"You will never know what she is capable of",https://img.upanh.tv/2023/08/04/5_auto_x2.jpg,0,0,27,0,0,0,0,Talented kid
14,DDC,"He's gonna destroy your food every time you serve. Be prepared",https://img.upanh.tv/2023/08/04/9_auto_x2.jpg,0,0,28,0,0,0,0,Messy kid
15,DDC,"What an adorable kid you have",https://img.upanh.tv/2023/08/04/19_auto_x2.jpg,0,0,28,0,0,0,0,Lovely son
16,DDC,"Your son will be superman",https://img.upanh.tv/2023/08/04/11a2086b5d1d13beec.jpg,0,0,31,0,0,0,0,Boy wonder
17,DDC,"You will have a kid after 35 but look how adorable he is!!",https://img.upanh.tv/2023/08/04/12_auto_x2.jpg,0,0,42,0,0,0,0,Lovely son
18,DDC,"Your kid is an amazing creature. She is full of wonder, curiosity, and creativity",https://img.upanh.tv/2023/08/04/15290795bdfab0e1b3.jpg,0,0,31,0,0,0,0,Amazing daughter
19,DDC,"She is resilient. She will bounce back from setbacks and challenges.",https://img.upanh.tv/2023/08/04/17_auto_x2.jpg,0,0,33,0,0,0,0,Tough girl
20,DDC,"Kids are a joy to be around. They make your life more fun and interesting.",https://img.upanh.tv/2023/08/04/13e6241a501f68b208.jpg,0,0,34,0,0,0,0,Joyful
21,DDC,"He looks like a half-breed. So beautiful",https://img.upanh.tv/2023/08/04/14226d6615ba0a457b.jpg,0,0,36,0,0,0,0,Half-breed kid
22,DDC,"Your child is so creative. They come up with the most amazing ideas",https://img.upanh.tv/2023/08/04/166e2ae118dbe82533.jpg,0,0,24,0,0,0,0,Creative kid
23,DDC,"He will be really clumsy but still, he will be your son. What can you do",https://img.upanh.tv/2023/08/04/19_auto_x2.jpg,0,0,23,0,0,0,0,Clumsy kid
24,DDC,"Your child is so loved. She is surrounded by so much love and support",https://img.upanh.tv/2023/08/04/2080a7f3603f331af9.jpg,0,0,33,0,0,0,0,Future Daughter
25,DDC,"Your child will be so smart. He learns new things really quickly",https://img.upanh.tv/2023/08/04/18bccbbadb42615b7c.jpg,0,0,35,0,0,0,0,Smart kid
